safe_instance_id,past_tense_verb_rate,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_compound,pov_first_rate,pov_second_rate,pov_third_rate,pov_dominant,concreteness_mean,concreteness_coverage,temporal_mention_rate,temporal_mention_count
inst_5cd2e6760b2b2f62_168,0.032258,0.187,0.033,0.78,0.836,0.016129,0.0,0.032258,third,3.4484,1.0,0.0,0
inst_b59462447c28da35_169,0.045045,0.137,0.013,0.85,0.9169,0.009009,0.009009,0.063063,third,2.9308,0.975,0.0,0
inst_e2bc521b93218324_170,0.054545,0.154,0.0,0.846,0.7672,0.018182,0.0,0.036364,third,3.175,0.9231,0.0,0
inst_efb3c26b6a0357eb_171,0.0,0.043,0.034,0.923,0.2023,0.0,0.0,0.0,none,2.86,1.0,0.089286,15
inst_215a42a9a2206747_172,0.042254,0.146,0.044,0.809,0.7532,0.014085,0.0,0.014085,first,3.5982,1.0,0.028169,2
inst_f079bbac251a596c_173,0.044944,0.115,0.016,0.869,0.8126,0.011236,0.0,0.179775,third,3.3348,1.0,0.0,0
inst_d67a66a91bf577a8_174,0.064516,0.0,0.0,1.0,0.0,0.0,0.0,0.048387,third,3.2126,1.0,0.016129,1
inst_8a73e439435ffe19_175,0.073529,0.186,0.207,0.607,0.0772,0.014706,0.014706,0.073529,third,2.78,1.0,0.0,0
inst_a36a1f7ee9ac2e3d_176,0.119048,0.027,0.019,0.954,0.1323,0.011905,0.0,0.083333,third,2.95,0.9412,0.0,0
inst_df23ae74a06dc2f8_177,0.071429,0.123,0.028,0.848,0.75,0.047619,0.0,0.095238,third,2.6974,0.92,0.0,0
inst_6b531a64f8a47151_178,0.013514,0.041,0.083,0.876,-0.3818,0.094595,0.013514,0.0,first,3.5378,1.0,0.027027,2
inst_7b6dab6ca8d44fe8_179,0.111111,0.0,0.0,1.0,0.0,0.0,0.0,0.055556,third,3.1975,0.8333,0.0,0
inst_efed6a963ba8d1aa_180,0.013333,0.057,0.142,0.801,-0.6903,0.04,0.0,0.026667,first,2.7348,1.0,0.013333,1
inst_d3eb66eb54f3a096_181,0.060606,0.043,0.0,0.957,0.3397,0.0,0.0,0.030303,third,3.0912,0.9286,0.030303,2
inst_bf749cfb6f73c4ee_182,0.057692,0.0,0.043,0.957,-0.25,0.0,0.0,0.057692,third,2.7774,0.95,0.019231,1
inst_cd562bcbb714195e_183,0.042254,0.038,0.023,0.939,0.2263,0.098592,0.014085,0.028169,first,3.2624,0.9615,0.0,0
inst_1b14a5abbe61ef4d_184,0.04,0.312,0.11,0.578,0.904,0.04,0.0,0.02,first,3.05,0.9048,0.06,3
inst_99f367ab2f1968e6_185,0.085366,0.148,0.035,0.817,0.8055,0.04878,0.012195,0.073171,third,3.0137,1.0,0.012195,1
inst_70fc33a90a7957bf_186,0.018519,0.3,0.0,0.7,0.937,0.074074,0.018519,0.037037,first,2.7262,0.8,0.018519,1
inst_df57c1875fa90a28_187,0.082192,0.062,0.0,0.938,0.4019,0.013699,0.041096,0.027397,second,3.0885,0.9643,0.0,0
inst_607692e4948390c6_188,0.041667,0.107,0.045,0.847,0.7227,0.0,0.0,0.020833,third,2.9841,0.9062,0.041667,4
inst_b42405945361d07e_189,0.046154,0.0,0.069,0.931,-0.5994,0.0,0.0,0.030769,third,3.2127,1.0,0.061538,4
inst_b8b5c8d58db225db_190,0.0,0.094,0.027,0.879,0.6369,0.0625,0.025,0.0,first,2.7758,1.0,0.0,0
inst_7d2f895b769077bf_191,0.057377,0.059,0.022,0.92,0.4215,0.0,0.0,0.04918,third,3.2084,0.8378,0.016393,2
inst_94744242f5ecd2c8_192,0.012987,0.037,0.0,0.963,0.296,0.012987,0.0,0.051948,third,3.4709,1.0,0.012987,1
inst_95ea7c3cfbb52acd_193,0.038462,0.13,0.023,0.847,0.8439,0.0,0.0,0.028846,third,3.0967,0.9767,0.009615,1
inst_98484deb69cd457c_194,0.088889,0.055,0.0,0.945,0.34,0.0,0.0,0.066667,third,3.4863,0.8889,0.0,0
inst_89008fe17728aaef_195,0.072727,0.111,0.0,0.889,0.4767,0.072727,0.018182,0.0,first,3.0911,0.8571,0.018182,1
inst_a7888d6db4e0f6b2_196,0.0,0.03,0.0,0.97,0.1901,0.0,0.0,0.042857,third,3.0577,1.0,0.028571,2
inst_ae56ed9ec9363ec4_197,0.061224,0.147,0.102,0.752,0.2617,0.010204,0.0,0.05102,third,3.2429,1.0,0.010204,1
inst_7b81f27dc636c32f_198,0.061856,0.096,0.027,0.877,0.7579,0.041237,0.0,0.0,first,3.021,1.0,0.030928,3
inst_b8a17f0424a0c68e_199,0.05,0.1,0.039,0.86,0.5267,0.0,0.0,0.016667,third,3.5822,0.9,0.033333,2
inst_2db83d872c717510_200,0.014493,0.12,0.051,0.829,0.631,0.0,0.028986,0.0,second,3.0278,0.9697,0.0,0
inst_a1125baba1cddc8d_201,0.028169,0.099,0.082,0.819,0.0516,0.084507,0.0,0.056338,first,2.7388,1.0,0.0,0
inst_2c0b329fb9229f5a_202,0.016393,0.0,0.029,0.971,-0.1511,0.0,0.0,0.032787,third,2.9544,0.8421,0.016393,1
inst_3d04d3e3df47f2f9_203,0.074074,0.224,0.0,0.776,0.886,0.0,0.0,0.018519,third,3.3095,1.0,0.018519,1
inst_5964ecd44f746ef1_204,0.0,0.099,0.0,0.901,0.6213,0.0,0.0,0.04,third,2.99,0.9565,0.02,1
inst_ff87e58297f5cecf_205,0.015625,0.02,0.019,0.961,0.0258,0.0,0.0,0.015625,third,2.9253,0.9714,0.007812,1
inst_ab59326df4ebfa37_206,0.040984,0.092,0.066,0.842,0.2732,0.02459,0.0,0.016393,first,2.67,0.9211,0.02459,3
inst_f100a273529f12fb_207,0.0375,0.16,0.032,0.807,0.8174,0.025,0.0,0.0375,third,3.2876,1.0,0.0125,1
inst_9052b9ea8e5ee4a6_208,0.016667,0.0,0.13,0.87,-0.7184,0.016667,0.0,0.0,first,3.0404,0.92,0.033333,2
inst_89b641974b1c609a_209,0.030303,0.226,0.085,0.689,0.8796,0.075758,0.0,0.090909,third,2.7473,0.7857,0.0,0
inst_2c577cbb81f5f1e5_210,0.047619,0.111,0.086,0.802,0.6597,0.0,0.0,0.028571,third,3.1416,1.0,0.019048,2
